"ref_area.label","source.label","indicator.label","sex.label","classif1.label","time","obs_value","obs_status.label"
"Nigeria","ILO - Modelled Estimates","Unemployment rate by sex and age -- ILO modelled estimates, Nov. 2025 (%)","Total","Age (Youth, adults): 15+","2018",5.069,
"Nigeria","ILO - Modelled Estimates","Unemployment rate by sex and age -- ILO modelled estimates, Nov. 2025 (%)","Total","Age (Youth, adults): 15+","2017",4.83,
"Nigeria","ILO - Modelled Estimates","Unemployment rate by sex and age -- ILO modelled estimates, Nov. 2025 (%)","Total","Age (Youth, adults): 15+","2016",4.499,
"Nigeria","ILO - Modelled Estimates","Unemployment rate by sex and age -- ILO modelled estimates, Nov. 2025 (%)","Total","Age (Youth, adults): 15+","2015",4.134,
"Nigeria","ILO - Modelled Estimates","Unemployment rate by sex and age -- ILO modelled estimates, Nov. 2025 (%)","Total","Age (Youth, adults): 15+","2014",3.9,
"Nigeria","ILO - Modelled Estimates","Unemployment rate by sex and age -- ILO modelled estimates, Nov. 2025 (%)","Total","Age (Youth, adults): 15+","2013",3.711,"Real value"
"Nigeria","ILO - Modelled Estimates","Unemployment rate by sex and age -- ILO modelled estimates, Nov. 2025 (%)","Total","Age (Youth, adults): 15+","2012",3.761,
"Nigeria","ILO - Modelled Estimates","Unemployment rate by sex and age -- ILO modelled estimates, Nov. 2025 (%)","Total","Age (Youth, adults): 15+","2011",3.77,"Real value"
"Nigeria","ILO - Modelled Estimates","Unemployment rate by sex and age -- ILO modelled estimates, Nov. 2025 (%)","Total","Age (Youth, adults): 15+","2010",3.744,
"Nigeria","ILO - Modelled Estimates","Unemployment rate by sex and age -- ILO modelled estimates, Nov. 2025 (%)","Total","Age (Youth, adults): 15+","2009",3.763,
"Nigeria","ILO - Modelled Estimates","Unemployment rate by sex and age -- ILO modelled estimates, Nov. 2025 (%)","Total","Age (Youth, adults): 15+","2008",3.792,
"Nigeria","ILO - Modelled Estimates","Unemployment rate by sex and age -- ILO modelled estimates, Nov. 2025 (%)","Total","Age (Youth, adults): 15+","2007",3.794,
"Nigeria","ILO - Modelled Estimates","Unemployment rate by sex and age -- ILO modelled estimates, Nov. 2025 (%)","Total","Age (Youth, adults): 15+","2006",3.749,
"Nigeria","ILO - Modelled Estimates","Unemployment rate by sex and age -- ILO modelled estimates, Nov. 2025 (%)","Total","Age (Youth, adults): 15+","2005",3.727,
"Nigeria","ILO - Modelled Estimates","Unemployment rate by sex and age -- ILO modelled estimates, Nov. 2025 (%)","Total","Age (Youth, adults): 15+","2004",3.59,
"Nigeria","ILO - Modelled Estimates","Unemployment rate by sex and age -- ILO modelled estimates, Nov. 2025 (%)","Total","Age (Youth, adults): 15+","2003",3.637,
"Nigeria","ILO - Modelled Estimates","Unemployment rate by sex and age -- ILO modelled estimates, Nov. 2025 (%)","Total","Age (Youth, adults): 15+","2002",3.669,
"Nigeria","ILO - Modelled Estimates","Unemployment rate by sex and age -- ILO modelled estimates, Nov. 2025 (%)","Total","Age (Youth, adults): 15+","2001",3.9,
"Nigeria","ILO - Modelled Estimates","Unemployment rate by sex and age -- ILO modelled estimates, Nov. 2025 (%)","Total","Age (Youth, adults): 15+","2000",3.953,
